name,cost,label,cost_tooltip
Kabuki-inspired Japanese-made luggage sets from Asia Luggage,417.84,,$417.84
Danucera Sculpt & Lift facial at Rescue Spa,325,,$325.00
Danucera Cerebalm,55,,$55.00
Danucera D22 Tonic,42,,$42.00
Costa Rican Villa Experience from Essence of Dreams,22988,Costa Rican Villa Experience from Essence of Dreams,"$22,988.00"
Glymate Sugar Balance,109,,$109.00
Glymate LIXI Daily Gut Restoration,58,,$58.00
HydroJug Traveler,29.99,,$29.99
OOahh PLUS updated slide from OOFOS,69.95,,$69.95
Ballet (Gold Edition) cryptocurrency storage,299,,$299.00
Beboe rose gold tray,15,,$15.00
BENU Movie Star special edition Haute Collection fountain pens,245,,$245.00
The blanc par rouGe Movie Night Maple Gourmet Gift Box,89.95,,$89.95
Beekeeper’s Natural throat spray,13.99,,$13.99
Bored Rebel statement tees,59,,$59.00
Super villa experience in Ibiza for up to 16 guests from Can Nemo,36000,Super villa experience in Ibiza for up to 16 guests from Can Nemo,"$36,000.00"
THC-microdosed liquid packets from Cann Social Tonics,45,,$45.00
Centellian24's 360º Shot PDRN Lifting Eye Cream,28,,$28.00
Plum + Argan Serum from Chanla Chau Cosmetics,70,,$70.00
Self care experience from DESUAR Spa,400,,$400.00
Dogwalkers expertly-crafted cannabis pre-rolls,30,,$30.00
Dogwalkers  Plush Tin Squeaker Toy,20,,$20.00
Dogwalkers Steel Ashtray,50,,$50.00
Doin' The Most Games — Hood You Rather?,24.99,,$24.99
"Doin' The Most Games — Pick, pic boom!",29.99,,$29.99
Doin' The Most Games — Song Survivor,19.99,,$19.99
Electric flosser from Flaus,119,,$119.00
7-day retreat at the Golden Door,12950,7-day retreat at the Golden Door,"$12,950.00"
PDRN+ Barrier Repair Toner Pads from Glow Recipe,30,,$30.00
Watermelon Glow Pore Tight Toner from Glow Recipe,36,,$36.00
Be Water from Greene Concepts,9.99,,$9.99
GROHE Euphoria 140 Shower Head,286,,$286.00
HUHA better for you undies that embrace your body as it is,24,,$24.00
future-driven skincare from the Swiss longevity brand INSTYTUTUM,302,,$302.00
The Jet Set limited-edition fragrance trio from On The Nose Perfumes,550,,$550.00
Plant-powered Cavi-art from PETA,9.99,,$9.99
Vegan GUNAS handbag from PETA,99,,$99.00
SWEPP by Porter Green silicone drinkware,48.3,,$48.30
Hand-dipped chocolate-covered pretzels crowned with edible gold crystals from Posh Pretzels,20,,$20.00
10-day restorative reset in the hills of Sri Lanka from Santani,4936,,"$4,936.00"
Señorita THC-infused non-alcoholic margaritas,16.99,,$16.99
SkinnyDipped Dark Chocolate Coconut Almond Bites,6.99,,$6.99
Suavecito Añejo Tequila,54.99,,$54.99
Supergoop! invisible SPF,38,,$38.00
Tea Forté Tea Tasting Assortment Tea Chest and Keepsake Collection,78,,$78.00
"""The Blonde, the Ferrari and the Kwan"" by Mitch Gould",39.99,,$39.99
TruFru Freeze Dried,6.49,,$6.49
Trusted Prenup fully-custom prenuptial agreement (to use or share) from renowned divorce attorney Jim Sexton,599,,$599.00
facial rejuvenation procedures from leading plastic surgeon Dr. Konstantin Vasyukevich,25000,Facial rejuvenation procedures from plastic surgeon Dr. Konstantin Vasyukevich,"$25,000.00"
Vital Proteins Collagen Peptides,13.47,,$13.47
