name,cost
Kabuki-inspired Japanese-made luggage sets from Asia Luggage,418
Danucera Sculpt & Lift waitlisted facial exclusively at Rescue Spa,325
Danucera Cerebalm,55
Danucera D22 Tonic,42
a luxury Costa Rican Villa Experience from Essence of Dreams,"22,988"
nutritional products for a vibrant life from Glymate,
the 100% spill-proof viral HydroJug Traveler,40
OOahh PLUS updated slide with both comfort and stability from OOFOS,70
Ballet (Gold Edition) ultra-secure cryptocurrency storage,299
an elite body-sculpting liposuction experience from ArtLipo,
Beboe rose gold tray,15
Beboe socks,
Beboe sleep mask,
BENU Movie Star special edition Haute Collection fountain pens,210
a smile makeover package from Beverly Hills Dental Arts,
the blanc par rouGe Movie Night Maple Gourmet Gift Box,90
Beekeeper’s Natural throat spray,14
Bored Rebel statement tees,
an iconic super villa experience in Ibiza for up to 16 guests from Can Nemo,"36,000"
perfectly-balanced THC-microdosed liquid packets from Cann Social Tonics,45
a turnkey custom residential interior design package from CBespoke,
Centellian24's 360º Shot PDRN Lifting Eye Cream,28
Plum + Argan Serum from Chanla Chau Cosmetics,70
a top-of-the-line self care experience from DESUAR Spa,400
Dogwalkers expertly-crafted cannabis pre-rolls,30
Dogwalkers  Plush Tin Squeaker Toy,20
Dogwalkers Steel Ashtray,50
Doin' The Most Games — Hood You Rather?,25
"Doin' The Most Games — Pick, pic boom!",30
Doin' The Most Games — Song Survivor,20
 the world's first electric flosser from Flaus,119
a transformative and rejuvenating seven-day retreat at the Golden Door,
PDRN+ Barrier Repair Toner Pads from Glow Recipe,30
Watermelon Glow Pore Tight Toner from Glow Recipe,36
ethically-sourced made in the USA Be Water from Greene Concepts,10
the luxurious GROHE Euphoria 140 Shower Head,286
Haize & Honey indulgent Chocolate Chunk Cookies,
an exclusive luxury arctic villa getaway with views of the Northern Lights from Hideout Villas,
HUHA better for you undies that embrace your body as it is,24
future-driven skincare from the Swiss longevity brand INSTYTUTUM,302
a mindful portrait experience from LIGHT MVMNT STUDIO,
The Jet Set limited-edition fragrance trio from On The Nose Perfumes,550
plant-powered Cavi-art from PETA,10
a vegan luxury GUNAS handbag from PETA,99
SWEPP by Porter Green stylish and unbreakable silicone drinkware,48
hand-dipped chocolate-covered pretzels crowned with edible gold crystals from Posh Pretzels,20
RYTHM high-potency award-winning cannabis products,
a ten-day restorative reset in the hills of Sri Lanka from Santani,
Señorita THC-infused non-alcoholic margaritas,17
SkinnyDipped Dark Chocolate Coconut Almond Bites,7
small batch handcrafted Suavecito Añejo Tequila,55
Supergoop! award-winning invisible SPF,38
a Tea Forté Tea Tasting Assortment Tea Chest and Keepsake Collection,78
"a fast-moving memoir (The Blonde, the Ferrari and the Kwan) from retail dealmaker Mitch Gould",40
TruFru chocolate-covered freeze-dried fruit treats,
Trusted Prenup fully-custom prenuptial agreement (to use or share) from renowned divorce attorney Jim Sexton,599
facial rejuvenation procedures from leading plastic surgeon Dr. Konstantin Vasyukevich,"25,000"
Vital Proteins Collagen Peptides,13
